Gene1,Gene2,PartialCor
AGTRAP,COX6A1,0.16194
AGTRAP,GSDM1,0.12287
AGTRAP,HIST1H2BD,0.1099
AGTRAP,HNRPR,-0.11958
AGTRAP,ICMT,0.118
AGTRAP,JARID2,-0.22524
AGTRAP,KLHL8,0.07963
AGTRAP,NUP107,-0.13858
AGTRAP,SLC3A2,0.10702
AGTRAP,SNX17,0.20921
AGTRAP,TMBIM4,0.1481
AGTRAP,TRIM34,-0.07747
AIRE,ARSG,0.05304
AIRE,BFAR,-0.12104
AIRE,C15orf63,-0.12036
AIRE,CATSPER2,0.1139
AIRE,CCR6,-0.07103
AIRE,CD68,-0.11547
AIRE,CD72,0.04609
AIRE,CDAN1,0.1686
AIRE,CHRNA5,-0.03623
AIRE,DAPP1,0.17658
AIRE,DCLRE1C,-0.10602
AIRE,DDX51,0.1691
AIRE,DEM1,-0.10507
AIRE,GCLM,-0.08778
AIRE,HCG2P7,0.06753
AIRE,HIATL2,-0.06734
AIRE,HSBP1,-0.05093
AIRE,ICA1,0.1321
AIRE,ISG20L2,-0.03627
AIRE,LILRB3,0.2233
AIRE,LMOD3,-0.0567
AIRE,LOC100132727,0.12766
AIRE,LOC653086,0.16431
AIRE,LOC729439,-0.05567
AIRE,MINK1,0.12677
AIRE,NOD1,-0.09128
AIRE,PNPT1,0.29807
AIRE,RPL7L1,0.14326
AIRE,TIPRL,0.10024
AIRE,TMEM106A,0.12107
AIRE,TP53BP2,-0.03542
AIRE,TPM4,-0.10902
AIRE,VHL,-0.04493
AIRE,WNT5A,-0.07515
AIRE,ZNF682,0.05766
AIRE,ZNF738,0.08136
AKR1D1,BMS1P5,-0.11522
AKR1D1,C19orf12,0.08192
AKR1D1,CDAN1,0.2351
AKR1D1,FARSLB,0.09038
AKR1D1,IL18,0.14688
AKR1D1,LOC644852,0.20527
AKR1D1,LOC729603,0.32177
AKR1D1,LYRM7,-0.0834
AKR1D1,PGA3,-0.12955
AKR1D1,PIP5K2B,0.14971
AKR1D1,TNFSF14,0.10746
AKR1D1,YEATS4,-0.11048
ALPP,AMFR,-0.06488
ALPP,AMOTL2,0.10177
ALPP,BCYRN1,0.07964
ALPP,BTBD2,0.10387
ALPP,C15orf63,0.12719
ALPP,FLJ44124,0.19298
ALPP,LOC100131850,0.17475
ALPP,LOC100132585,0.05223
ALPP,LOC646996,0.3461
ALPP,OCIAD1,0.12323
ALPP,VPS41,0.16275
ALPP,ZNF652,0.09246
ALPP,ZNF738,0.20762
AMFR,AMOTL2,-0.08567
AMFR,APOBEC3D,0.1629
AMFR,IL10,-0.08228
AMFR,NLRP3,0.14498
AMFR,RELB,-0.16561
AMFR,SGK3,0.04369
AMFR,SMAP1,0.15181
AMFR,TPM4,0.10552
AMFR,ZNF131,0.19464
AMOTL2,CAPS2,0.11795
AMOTL2,PION,-0.10073
AMOTL2,TDRD1,0.11674
ANAPC5,CCNB1IP1,0.2323
ANAPC5,DDX19A,0.16886
ANAPC5,HIST1H2BD,-0.15321
ANAPC5,SNX17,0.23472
ANAPC5,SORL1,0.14937
ANAPC5,USP49,-0.09279
ANAPC5,ZNF763,0.2214
ANKRD30B,BLZF1,0.18893
ANKRD30B,C21orf55,0.14406
ANKRD30B,CHRNA5,-0.11191
ANKRD30B,LOC653086,0.33591
ANKRD30B,NUP107,-0.0899
ANKRD30B,PTPLAD2,0.1182
APOBEC3D,EPSTI1,0.14202
APOBEC3D,MDM1,0.12458
APOBEC3D,SC4MOL,0.31633
APOBEC3D,TNK2,0.07012
APOBEC3D,UTP20,-0.15647
ARSG,EVI5L,-0.13498
ARSG,GALNT6,-0.1806
ARSG,GIMAP1,-0.09002
ARSG,GLIPR1,0.19618
ARSG,GSR,-0.09289
ARSG,HIST1H2BD,0.10526
ARSG,LOC100128086,-0.13938
ARSG,NCAPD2,0.07644
ARSG,SLC35E3,0.22
ARSG,SORL1,0.1673
ARSG,STK24,1e-05
ARSG,YRDC,-0.12805
B3GNT5,BATF3,0.11557
B3GNT5,C19orf12,0.15723
B3GNT5,CHST12,-0.21755
B3GNT5,CPPED1,0.17418
B3GNT5,DLEU2,0.12963
B3GNT5,ICMT,-0.24032
B3GNT5,KLHL8,-0.1668
B3GNT5,PHRF1,-0.12036
B3GNT5,TIPRL,0.24195
B3GNT5,TLK1,0.09594
B3GNT5,ZNF701,0.21467
BATF3,CYP27A1,-0.08785
BATF3,GALNT6,0.14293
BATF3,IL10,0.23577
BATF3,MBD4,-0.11973
BATF3,MFSD11,-0.12401
BATF3,MTMR12,0.11346
BATF3,PHLDB3,0.10908
BATF3,PION,-0.09351
BATF3,RELB,-0.10117
BATF3,SPC24,0.16151
BATF3,STK24,0.15964
BATF3,TBC1D9,-0.0834
BATF3,TMEM106A,-0.23809
BATF3,TNFSF14,0.08946
BATF3,TNFSF15,0.1701
BCAS4,COX16,0.13372
BCAS4,FCF1,0.10174
BCAS4,PPIL3,0.19303
BCYRN1,BLZF1,0.09659
BCYRN1,CAPS2,0.16348
BCYRN1,LOC100130229,0.07849
BCYRN1,LOC100134868,0.27452
BCYRN1,ZNF786,0.22539
BFAR,C4orf34,-0.0889
BFAR,CPPED1,0.20063
BFAR,HSBP1,-0.2088
BFAR,IFT88,0.16572
BFAR,ISG20L2,0.13592
BFAR,MCM8,0.0789
BFAR,NLRP3,0.17864
BFAR,UBE2E2,-0.12163
BFAR,WDR74,-0.10949
BIRC3,CD72,0.07487
BIRC3,COPZ1,-0.17281
BIRC3,CYP27A1,-0.19761
BIRC3,GIMAP1,-0.12648
BIRC3,IL18,0.18086
BIRC3,IL32,0.15819
BIRC3,PHAX,0.16049
BIRC3,PION,0.13433
BIRC3,RELB,0.06369
BIRC3,SNX15,-0.07248
BIRC3,TBC1D9,0.20387
BIRC3,UBE2E2,0.10653
BLZF1,BMS1P5,0.09305
BLZF1,C11orf63,0.05228
BLZF1,C21orf24,0.10439
BLZF1,C21orf55,0.10449
BLZF1,CCDC125,0.30427
BLZF1,CREB1,-0.15587
BLZF1,LGALS3,0.15278
BLZF1,LOC255167,0.42667
BLZF1,ZNF14,0.23997
BMS1P5,C15orf63,0.03239
BMS1P5,C3orf34,0.09349
BMS1P5,EID2B,0.23826
BMS1P5,FLJ46309,0.16463
BMS1P5,KCNH6,0.34763
BMS1P5,LOC100128288,0.27301
BMS1P5,ZNF682,0.17559
BTBD2,CCNB1IP1,0.0696
BTBD2,GALNT6,-0.25561
BTBD2,IMPDH1,0.27744
BTBD2,PTPLAD2,-0.16865
BTBD2,SMAP1,0.17828
BTBD2,TRIM56,-0.16365
BTBD2,WNT5A,-0.08736
C11orf63,C12orf43,0.07081
C11orf63,C6orf170,0.25717
C11orf63,GCLM,0.26638
C11orf63,LOC100128460,0.16077
C11orf63,LOC100130276,0.21373
C11orf63,PRO1853,0.16462
C11orf63,RASSF6,0.16817
C11orf63,TNFSF15,0.20062
C12orf43,CCNB1IP1,0.13547
C12orf43,FCF1,-0.13508
C12orf43,HIST1H2BD,-0.15567
C12orf43,LOC401357,-0.16218
C12orf43,LOC644642,-0.23057
C12orf43,LYRM7,0.18446
C12orf43,SC4MOL,-0.15685
C12orf43,TNK2,-0.15192
C12orf43,TRIM56,0.21108
C15orf63,C21orf24,0.09235
C15orf63,C9orf80,0.18409
C15orf63,HSD17B7,0.21991
C15orf63,POFUT1,0.35743
C15orf63,STAG3L3,0.1452
C15orf63,TMEM17,0.3412
C19orf12,C1orf210,0.07197
C19orf12,COX16,0.11404
C19orf12,DOPEY2,-0.15743
C19orf12,LGMN,0.11024
C19orf12,LOC100132540,0.18766
C19orf12,LOC729090,-0.17216
C19orf12,TNFSF15,0.20096
C19orf12,TRIM34,0.20319
C19orf12,ZNF701,-0.0887
C19orf31,CAPS2,0.0844
C19orf31,CCNB1IP1,-0.19371
C19orf31,FAM177A1,0.22192
C19orf31,FCGR3A,-0.16551
C19orf31,ITIH5,0.0873
C19orf31,LOC100128086,-0.14609
C19orf31,MSH3,0.19237
C19orf31,RSU1,-0.09292
C19orf31,ZMAT3,0.03949
C1orf151,C1orf210,0.10644
C1orf151,LOC644019,0.21689
C1orf151,LOC727773,0.18413
C1orf210,FDXACB1,0.29975
C1orf210,SLC30A6,0.24536
C1orf210,SLC3A2,0.08219
C1orf210,TPM3,0.16296
C1QA,DLEU2,0.20811
C1QA,NFIL3,-0.15574
C1QA,NOD1,0.10583
C1QA,STK24,-0.17764
C21orf24,C3orf34,0.10497
C21orf24,FAM115A,0.17839
C21orf24,SNX15,-0.16832
C21orf55,C8orf45,0.28079
C21orf55,CDAN1,0.24427
C21orf55,CHRNA5,-0.08737
C21orf55,CHST12,-0.08638
C21orf55,COX6A1,-0.12117
C21orf55,MCM8,0.21685
C21orf55,PDE4C,0.19225
C3orf34,C8orf45,0.13314
C3orf34,CAPS2,0.0797
C3orf34,CATSPER2,0.06352
C3orf34,CHRNA5,0.06094
C3orf34,CREB1,0.16297
C3orf34,DAPP1,-0.05048
C3orf34,DUSP19,0.06453
C3orf34,LRRFIP1,0.25829
C3orf34,SEMA3E,0.25349
C3orf34,ZMAT3,0.25221
C4orf34,DOPEY2,0.281
C4orf34,KLHL8,0.25771
C4orf34,NFIL3,0.10639
C4orf34,PCYOX1,0.16907
C4orf34,PION,-0.10871
C4orf34,RAB27A,0.16029
C4orf34,SGK3,0.15269
C4orf34,SLAMF7,-0.13106
C4orf34,SMAP1,0.11889
C4orf34,SMC4,0.18046
C4orf34,VPS41,0.15073
C4orf34,ZNF763,0.1395
C4orf34,ZNF845,0.11886
C5orf28,C6orf170,0.0768
C5orf28,C8orf45,0.17817
C5orf28,CRCP,0.30701
C6orf170,COX19,0.17258
C6orf170,FAM153B,0.27621
C6orf170,LOC643882,0.3244
C6orf170,PLA2G2D,0.19873
C6orf61,HNRPR,0.14615
C6orf61,MTMR12,0.15743
C6orf61,NUP107,0.12164
C6orf61,RELB,0.10778
C6orf61,SLAMF7,-0.12707
C8orf45,C9orf80,0.23391
C8orf45,CATSPER2,0.09997
C9orf80,CCDC125,0.13929
C9orf80,CRCP,0.17374
C9orf80,CREB1,-0.07788
C9orf80,ZNF430,0.37742
CAPS2,GLTSCR1,0.14894
CAPS2,GTF2IRD2B,0.1703
CAPS2,LOC100130835,0.13772
CAPS2,LOC284821,0.21688
CAPS2,MT1G,0.10752
CAPS2,SC4MOL,0.14912
CAPS2,SMC4,-0.09453
CATSPER2,CCBE1,0.32022
CATSPER2,CDKN2AIPNL,0.37623
CATSPER2,TMEM106A,0.14346
CBR3,CD84,0.19323
CBR3,GALNT6,-0.1601
CBR3,HSBP1,0.15849
CBR3,IL32,0.12579
CBR3,MT1G,0.11611
CBR3,TBC1D9,0.07828
CBR3,ZNF777,0.16897
CCBE1,CCDC125,0.1219
CCBE1,CCL20,0.09439
CCBE1,CD72,-0.1748
CCBE1,CDKN2AIPNL,-0.06737
CCBE1,CREB1,0.17639
CCBE1,FLJ38717,-0.118
CCBE1,ZNF682,0.31186
CCDC125,CCL20,-0.18525
CCDC125,CDAN1,0.1111
CCL20,CD72,-0.07075
CCL20,CYP27A1,-0.19977
CCL20,DENND4C,0.08936
CCL20,DSN1,-0.09827
CCL20,FAM63A,-0.11638
CCL20,GLIPR1,-0.20933
CCL20,IER3,0.21479
CCL20,LOC284821,-0.12331
CCL20,MAFF,0.28954
CCL20,PGA3,-0.124
CCL20,SGK3,-0.16778
CCL20,SLC3A2,0.17781
CCL20,SPC24,0.09243
CCL20,SRGAP1,0.1536
CCL20,WNT5A,0.10311
CCNB1IP1,DDX19A,0.08839
CCNB1IP1,EVI5L,-0.09393
CCNB1IP1,MTMR12,-0.18504
CCNB1IP1,RINL,0.07909
CCNB1IP1,TNFRSF10B,0.12994
CCR6,CDAN1,0.16654
CCR6,FAM115A,0.10991
CCR6,ITIH5,0.23761
CCR6,MGC16703,0.23712
CCR6,PDCD7,0.19728
CCR6,RN7SL1,0.12977
CD68,CDKN2AIPNL,0.07716
CD68,CYP27A1,0.16209
CD68,DAPP1,0.24738
CD68,GNB4,0.14389
CD68,PION,-0.16359
CD68,RUNDC2B,0.13881
CD68,SLAMF7,0.1743
CD68,SNX17,0.0793
CD68,ZYX,0.09608
CD72,COPZ1,-0.12051
CD72,GNB4,0.20545
CD72,IL12RB1,0.1228
CD72,KCNMB4,0.14975
CD72,LEMD3,-0.13603
CD72,LOC93349,0.17303
CD72,MDM1,-0.13299
CD72,RELB,-0.09286
CD72,RRP7B,-0.10827
CD72,SLAMF6,0.08699
CD72,SLC47A1,0.09943
CD72,TNK2,0.28809
CD84,CHRNA5,0.05311
CD84,LEF1,-0.0974
CD84,PHF1,-0.19525
CD84,RELB,0.24917
CD84,SLAMF6,0.29702
CD84,STK24,-0.18175
CD84,TMEM17,0.15309
CD84,YRDC,-0.16509
CDAN1,COX19,0.0633
CDAN1,CRCP,0.25686
CDAN1,GGA1,-0.07108
CDK5RAP2,CYP27A1,0.32696
CDK5RAP2,FAM102A,0.13096
CDK5RAP2,GLIPR1,0.13988
CDK5RAP2,GNB4,-0.13668
CDK5RAP2,KIR2DL3,0.09339
CDK5RAP2,MAFF,0.1049
CDK5RAP2,NFIL3,-0.10146
CDK5RAP2,SLC3A2,0.16189
CDK5RAP2,SNX15,0.10518
CDK5RAP2,TNFSF14,0.141
CDK5RAP2,UBE2E2,0.15681
CDKN2AIPNL,CHRNA5,0.02974
CDKN2AIPNL,DDX51,0.45525
CDKN2AIPNL,LOC729090,0.23118
CEACAM1,ITK,0.08414
CHRNA5,COPZ1,-0.0718
CHRNA5,COX6A1,-0.10429
CHRNA5,CPPED1,0.0335
CHRNA5,DSN1,0.1053
CHRNA5,FAM63A,0.52031
CHRNA5,HSPC268,0.31906
CHRNA5,QRFPR,0.25742
CHRNA5,SORL1,0.07491
CHRNA5,ZNF69,0.07428
CHST12,DUSP19,0.16872
CHST12,GNB4,0.09328
CHST12,TNK2,0.18777
CHST12,VHL,-0.1321
CNN2,EVI5L,0.30824
CNN2,IMPDH1,0.08538
COPZ1,CRCP,-0.0618
COPZ1,HIST1H2BD,-0.17364
COPZ1,HNRPR,0.20086
COPZ1,LOC100128086,0.08447
COPZ1,MTMR12,0.14785
COPZ1,PHF1,-0.10944
COPZ1,POLR3A,-0.17495
COPZ1,PRPF8,0.27808
COPZ1,RAG1AP1,0.15928
COPZ1,SMAP1,0.18897
COPZ1,SMC4,-0.15286
COPZ1,YEATS4,-0.10401
COX15,IL12RB1,0.17941
COX16,DSN1,-0.1173
COX16,FDXACB1,0.15303
COX19,DCLRE1C,0.17467
COX19,DENND4C,0.14587
COX19,FAM63A,-0.07973
COX19,FLJ38717,0.25223
COX19,PHRF1,0.11437
COX19,STAG3L3,0.10608
COX6A1,ENHO,0.10353
COX6A1,FAM177A1,-0.06483
COX6A1,FAM73A,0.13647
COX6A1,FARSLB,-0.17796
COX6A1,GTF2IRD2B,0.19181
COX6A1,HSBP1,0.17901
COX6A1,LOC731789,0.12237
COX6A1,NBPF8,-0.16591
COX6A1,NLRP3,-0.21473
COX6A1,PION,-0.15879
COX6A1,PLXNA4,0.11699
COX6A1,SLC3A2,0.12674
COX6A1,SMAP1,-0.16824
COX6A1,SPINK1,0.08216
COX6A1,SSSCA1,0.1448
COX6A1,TDRD1,0.07148
COX6A1,VHL,-0.10788
COX6A1,ZNF131,-0.12896
COX6A1,ZNF669,0.13141
CPPED1,DAPP1,0.12771
CPPED1,DEM1,0.12612
CPPED1,GIMAP1,0.2348
CPPED1,LGALS3,0.20582
CPPED1,MT1G,-0.10581
CPPED1,NUP107,-0.04967
CPPED1,STAG3L3,-0.04804
CPPED1,ZNF652,-0.17796
CRCP,DAPP1,0.14869
CRCP,DUXAP3,0.14207
CRCP,EPSTI1,-0.10096
CREB1,DDX51,0.24809
CREB1,DEM1,0.08231
CREB1,DUSP19,0.29604
CREB1,DUXAP3,-0.04869
CREB1,EID2B,0.21597
CREB1,FAM115A,-0.06896
CREB1,FKTN,-0.06851
CREB1,KLHL28,0.33587
CRTC3,CYP27A1,0.1478
CRTC3,DLEU2,0.12403
CRTC3,EVI5L,0.10986
CRTC3,GIMAP1,0.02789
CRTC3,GLTSCR1,0.16307
CRTC3,IL10,-0.15419
CRTC3,MBTD1,0.06012
CRTC3,PRPF8,0.18392
CRTC3,RAB3IP,0.15202
CRTC3,SLC3A2,0.06515
CRTC3,SNORD3D,-0.08223
CRTC3,SORL1,0.1846
CRTC3,STK24,0.16211
CRTC3,TLK1,0.10726
CRTC3,TRIM56,-0.09464
CRTC3,ZYX,0.13632
CYP27A1,GCLM,0.11702
CYP27A1,HCG2P7,0.0764
CYP27A1,LGALS3,0.04238
CYP27A1,LOC100132620,-0.11868
CYP27A1,LOC644642,-0.10077
CYP27A1,PHF1,0.10941
CYP27A1,RAB27A,-0.15959
CYP27A1,RINL,-0.17244
CYP27A1,SLAMF6,0.14403
CYP27A1,SLC3A2,0.231
CYP27A1,SLC47A1,0.20877
CYP27A1,TBC1D9,0.11214
CYP27A1,ZNF777,0.09189
DAPP1,DENND4C,-0.15235
DAPP1,DUXAP3,0.15316
DAPP1,EPSTI1,0.09608
DAPP1,FDXACB1,0.08678
DAPP1,FKTN,0.2372
DAPP1,NFIL3,0.09862
DCLRE1C,DENND4C,0.13
DCLRE1C,LOC731789,0.16416
DCLRE1C,RINL,0.01512
DCLRE1C,SLC35E3,0.10399
DCLRE1C,SMC4,0.14899
DCLRE1C,TNK2,0.15741
DDX19A,DENND4C,0.18757
DDX19A,GNB4,0.1252
DDX19A,HIST1H2BD,-0.14591
DDX19A,LOC100128086,-0.13425
DDX19A,NFIL3,-0.2116
DDX19A,NLRP3,-0.24463
DDX19A,POLR3A,0.20331
DDX19A,TMEM106A,-0.05665
DDX19A,UBE2E2,0.17763
DDX19A,ZNF845,0.24058
DDX51,DEM1,0.17409
DDX51,YEATS4,-0.18288
DEM1,DENND4C,0.07294
DEM1,DUXAP3,0.29827
DEM1,EPSTI1,-0.11482
DEM1,FKBP14,0.30839
DEM1,SNX17,-0.14171
DEM1,TNK2,-0.08486
DENND4C,DOPEY2,0.15103
DENND4C,DSN1,0.12205
DENND4C,FOXD4L4,0.15235
DENND4C,IFT88,0.14121
DENND4C,MEFV,-0.12095
DENND4C,NOD1,0.09735
DENND4C,TNFSF14,0.11685
DENND4C,ZYX,0.14515
DLEU2,PLA2G2D,-0.08321
DLEU2,PNPT1,0.10532
DLEU2,RAG1AP1,-0.15922
DLEU2,STK24,0.2262
DLEU2,TNK2,0.13691
DOPEY2,DUXAP3,0.13623
DOPEY2,FKTN,0.25654
DOPEY2,MBOAT2,-0.12388
DOPEY2,SMC4,-0.16199
DSN1,PHF1,0.08569
DSN1,TMBIM4,0.22285
DUSP19,EID2B,0.20873
DUSP19,EPSTI1,0.14993
DUSP19,FAM153B,-0.12604
DUSP19,FAM175A,0.18765
DUSP19,GNB4,0.12759
DUSP19,LGALS3,-0.04651
DUSP19,LYRM7,-0.06743
DUSP19,PNPT1,0.0956
DUXAP3,FAM115A,0.27254
DUXAP3,HSD17B7,0.31598
DUXAP3,KIAA0101,-0.06423
EID2B,ENHO,0.00537
EID2B,EPSTI1,-0.08379
EID2B,FAM119A,0.33984
EID2B,HCG2P7,0.09286
ENHO,LIN52,0.14627
ENHO,ZNF652,0.21928
EPSTI1,FAM102A,-0.10347
EPSTI1,FAM115A,0.15294
EPSTI1,FAM119A,-0.14435
EPSTI1,FAM63A,0.16481
EPSTI1,GALNT6,-0.15108
EPSTI1,ICMT,-0.05492
EPSTI1,IL10,0.18582
EPSTI1,LOC646996,-0.13188
EPSTI1,PTPLAD2,0.17718
EPSTI1,RELB,0.12193
EPSTI1,SLAMF7,0.22784
EPSTI1,TNFSF14,-0.16559
EPSTI1,TNK2,0.23964
EVI5L,HSBP1,0.14667
EVI5L,IER3,0.15724
EVI5L,MAFF,-0.13428
EVI5L,PGA3,0.15091
EVI5L,PHRF1,0.20648
EVI5L,PTPLAD2,0.10697
EVI5L,TBC1D15,-0.18289
EVI5L,TRIM56,-0.15243
EVI5L,ZNF777,0.1053
FAM102A,LEF1,0.23879
FAM115A,FAM119A,0.16337
FAM115A,LOC100130835,-0.10738
FAM115A,LOC100190938,0.19146
FAM115A,LOC645895,0.26565
FAM119A,FAM175A,0.31583
FAM119A,FCAR,0.2086
FAM153B,FAM40B,0.27838
FAM153B,LOC100131452,0.16719
FAM153B,PCDHB9,0.28925
FAM153B,PLA2G2D,0.12961
FAM175A,FAM63A,0.07422
FAM175A,FAM73A,0.29189
FAM175A,LOC644852,0.25508
FAM177A1,FARSLB,0.1014
FAM177A1,ITIH5,0.38711
FAM177A1,KIAA0101,0.25498
FAM177A1,LOC100131452,-0.09535
FAM177A1,LOC100132540,0.13638
FAM40B,FAM73A,0.28677
FAM40B,FDXACB1,0.12443
FAM40B,GNB4,-0.13271
FAM40B,ICA1,0.19575
FAM40B,ZNF786,0.22074
FAM63A,FCAR,0.05174
FAM63A,FCGR3A,0.04788
FAM63A,FKBP1P1,0.29027
FAM63A,IL10,-0.12879
FAM63A,KCNMB4,0.09119
FAM63A,PHRF1,-0.11514
FAM63A,TBC1D9,0.07896
FAM63A,TLK1,0.14909
FAM73A,FARSLB,0.26682
FAM73A,FCGR3A,0.1185
FAM73A,FKBP14,0.17144
FARSLB,FCAR,-0.10318
FARSLB,FKTN,0.08217
FARSLB,FUT6,-0.11665
FARSLB,GABPB2,0.26117
FARSLB,LILRB3,0.35529
FCAR,FKBP14,0.1317
FCAR,FKBP1P1,0.08689
FCAR,FLJ40453,0.06322
FCAR,FUT6,0.13857
FCAR,GIMAP1,-0.11218
FCAR,MBTD1,0.36983
FCAR,SEMA3E,0.31373
FCF1,PRO1853,0.06902
FCF1,TPM4,0.16266
FCGR3A,FKBP14,0.13865
FCGR3A,GIMAP1,0.30499
FCGR3A,ZNF652,-0.17189
FDXACB1,FKBP14,-0.10994
FDXACB1,GGA1,-0.07809
FDXACB1,GSDM1,0.13246
FGFBP2,ITK,0.21928
FGFBP2,SLAMF6,0.17128
FHIT,LEF1,0.07456
FKBP14,FKTN,0.10984
FKBP14,FLJ46309,0.10077
FKBP14,HNRNPU,0.33125
FKBP14,ZNF131,0.21958
FKBP1P1,GABPB2,-0.05577
FKBP1P1,LOC100130229,-0.14301
FKBP1P1,NFIL3,-0.11768
FKBP1P1,PHAX,0.10686
FKTN,FLJ44124,0.19416
FLJ38717,ICA1,0.08785
FLJ38717,LGALS3,-0.20214
FLJ38717,LMOD3,0.15594
FLJ38717,LOC100134868,0.25133
FLJ38717,LOC729603,0.11525
FLJ38717,NBPF8,-0.07373
FLJ38717,SORL1,0.10106
FLJ38717,TIPRL,-0.13642
FLJ38717,ZNF763,0.12199
FLJ40453,LOC727773,0.16099
FLJ40453,TRIM16L,0.20341
FLJ44124,FLJ46309,0.24986
FLJ44124,GABPB2,0.21645
FLJ44124,KIAA0101,-0.13225
FLJ44124,LOC202781,0.39757
FLJ46309,GABPB2,0.08452
FLJ46309,GGA1,0.12968
FOXD4L4,GDPD1,0.18955
FUT6,GDPD1,0.118
FUT6,MBOAT2,0.20296
FUT6,PHAX,0.24851
GABPB2,GALNT6,0.08838
GABPB2,GJC1,0.31425
GALNT6,GNB4,0.07266
GALNT6,IER3,0.1402
GALNT6,ISG20L2,0.15533
GALNT6,PHF1,0.15966
GALNT6,SORL1,0.10926
GALNT6,VHL,0.11491
GALNT6,ZYX,0.09847
GCLM,GDPD1,0.19498
GCLM,GNB4,0.13929
GCLM,LIN52,0.1324
GCLM,WNT5A,0.16366
GDPD1,HNRNPU,0.13547
GDPD1,LOC100130276,0.2442
GDPD1,LOC440157,0.23937
GDPD1,MBOAT2,0.21869
GDPD1,RAB27A,-0.14477
GGA1,GNB4,0.06249
GGA1,H6PD,-0.1016
GGA1,KIAA0101,0.1311
GGA1,LILRB3,-0.1045
GGA1,LOC100132540,-0.06423
GGA1,LOC401357,0.07007
GGA1,LOC729090,0.32447
GGA1,LOC729439,0.20915
GGA1,RRP7B,0.47898
GIMAP1,GNB4,0.14697
GIMAP1,IER3,-0.19258
GIMAP1,KCNMB4,0.13016
GIMAP1,LOC644642,0.09866
GIMAP1,PTPLAD2,0.18462
GIMAP1,SORL1,0.18773
GIMAP1,TNK2,0.06617
GJC1,HIATL2,0.20599
GJC1,IL18,0.16658
GJC1,ITIH5,0.1226
GJC1,KLHL28,-0.06286
GJC1,LOC642947,0.36879
GLIPR1,GTF2IRD2B,0.18306
GLIPR1,IL12RB1,-0.12866
GLIPR1,IMPDH1,0.10045
GLIPR1,NFIL3,-0.15385
GLIPR1,SLAMF7,-0.1822
GLIPR1,TBC1D9,-0.10629
GLIPR1,TMBIM4,0.10588
GLTSCR1,GSTTP2,-0.07541
GLTSCR1,LGALS3,-0.23709
GLTSCR1,LOC401357,0.18412
GLTSCR1,PHRF1,0.16111
GLTSCR1,RELB,0.12527
GNB4,GSDM1,-0.07429
GNB4,IL10,0.11933
GNB4,JARID2,-0.18273
GNB4,PLEKHB2,0.04967
GNB4,TBC1D9,-0.09182
GSDM1,GSR,0.16097
GSDM1,HFE,0.14537
GSDM1,KILLIN,0.28562
GSDM1,PPID,0.52852
GSDM1,RRP7B,0.06404
