Gene1,Gene2,PartialCor,Condition
AFMID,TP53BP2,0.33453,IFN-gamma
AFMID,ZNF131,0.1235,IFN-gamma
AFMID,ZNF682,-0.10538,IFN-gamma
AFTPH,C19orf31,0.07118,IFN-gamma
AFTPH,C4orf34,0.13835,IFN-gamma
AFTPH,GLTSCR1,0.16331,IFN-gamma
AFTPH,GSDM1,0.07832,IFN-gamma
AFTPH,ISG20L2,0.11028,IFN-gamma
AFTPH,KLHL8,0.23786,IFN-gamma
AFTPH,LOC284821,3e-05,IFN-gamma
AFTPH,MTMR12,0.19322,IFN-gamma
AFTPH,STAG3L3,-0.11597,IFN-gamma
AFTPH,TRIM56,0.1923,IFN-gamma
AFTPH,YEATS4,-0.07069,IFN-gamma
AFTPH,ZNF669,-0.15716,IFN-gamma
AGTRAP,DDX19A,0.15482,IFN-gamma
AGTRAP,HNRPR,-0.09974,IFN-gamma
AGTRAP,IER3,0.15903,IFN-gamma
AGTRAP,JARID2,-0.24967,IFN-gamma
AGTRAP,KCNMB4,-0.10744,IFN-gamma
AGTRAP,SLC3A2,0.18636,IFN-gamma
AGTRAP,SMC4,-0.12476,IFN-gamma
AGTRAP,SNX17,0.09088,IFN-gamma
AGTRAP,SSSCA1,0.17438,IFN-gamma
AGTRAP,TMBIM4,0.15287,IFN-gamma
AGTRAP,VHL,-0.10214,IFN-gamma
AIRE,BCYRN1,-0.06876,IFN-gamma
AIRE,CATSPER2,0.10418,IFN-gamma
AIRE,CCR6,-0.11013,IFN-gamma
AIRE,CDAN1,0.20716,IFN-gamma
AIRE,CHRNA5,-0.09375,IFN-gamma
AIRE,DDX51,0.12014,IFN-gamma
AIRE,FAM177A1,0.1106,IFN-gamma
AIRE,FARSLB,0.12617,IFN-gamma
AIRE,FLJ38717,-0.07952,IFN-gamma
AIRE,HCG2P7,0.26635,IFN-gamma
AIRE,HIATL2,-0.1221,IFN-gamma
AIRE,LILRB3,0.40611,IFN-gamma
AIRE,LOC100132727,0.06164,IFN-gamma
AIRE,LOC653086,0.22806,IFN-gamma
AIRE,LOC729603,0.04976,IFN-gamma
AIRE,MINK1,0.14266,IFN-gamma
AIRE,NOD1,-0.08379,IFN-gamma
AIRE,PNPT1,0.24125,IFN-gamma
AIRE,RPL7L1,0.10434,IFN-gamma
AIRE,SSSCA1,-0.03315,IFN-gamma
AIRE,YEATS4,-0.05011,IFN-gamma
AIRE,ZNF682,-0.02722,IFN-gamma
AKR1D1,CDAN1,0.18509,IFN-gamma
AKR1D1,CYP27A1,-0.07832,IFN-gamma
AKR1D1,GLIPR1,-0.11125,IFN-gamma
AKR1D1,LOC729603,0.49285,IFN-gamma
AKR1D1,MTMR12,-0.11828,IFN-gamma
AKR1D1,SLAMF7,0.16397,IFN-gamma
AKR1D1,TNFSF14,0.2994,IFN-gamma
ALPP,AMFR,-0.14948,IFN-gamma
ALPP,AMOTL2,0.03707,IFN-gamma
ALPP,C15orf63,0.2064,IFN-gamma
ALPP,LOC646996,0.37814,IFN-gamma
ALPP,ZNF738,0.45568,IFN-gamma
AMFR,BATF3,-0.19725,IFN-gamma
AMFR,NLRP3,0.09834,IFN-gamma
AMFR,PHF1,-0.11198,IFN-gamma
AMFR,PHRF1,-0.13858,IFN-gamma
AMFR,SGK3,0.14124,IFN-gamma
AMFR,TIPRL,-0.19898,IFN-gamma
AMOTL2,ZNF557,0.29886,IFN-gamma
ANAPC5,CCNB1IP1,0.13801,IFN-gamma
ANAPC5,CEACAM1,-0.17264,IFN-gamma
ANAPC5,DDX19A,0.1644,IFN-gamma
ANAPC5,EVI5L,0.1325,IFN-gamma
ANAPC5,HIST1H2BD,-0.10637,IFN-gamma
ANAPC5,LOC284821,-0.15339,IFN-gamma
ANAPC5,NFIL3,-0.06568,IFN-gamma
ANAPC5,PRPF8,0.17726,IFN-gamma
ANAPC5,SNX17,0.17395,IFN-gamma
ANAPC5,TNK2,0.08858,IFN-gamma
ANKRD30B,BLZF1,0.14463,IFN-gamma
ANKRD30B,LOC100132727,0.28281,IFN-gamma
ANKRD30B,LOC653086,0.27374,IFN-gamma
ANKRD30B,PTPLAD2,0.21254,IFN-gamma
APOBEC3D,CEACAM1,0.19795,IFN-gamma
APOBEC3D,CHST12,0.22488,IFN-gamma
APOBEC3D,POLR3A,0.13803,IFN-gamma
APOBEC3D,SLAMF7,-0.20021,IFN-gamma
ARSG,CYP27A1,-0.16376,IFN-gamma
ARSG,IL32,0.11328,IFN-gamma
ARSG,MINK1,0.14366,IFN-gamma
ARSG,NCAPD2,0.15909,IFN-gamma
ARSG,NT5DC3,0.33824,IFN-gamma
ARSG,SORL1,0.14013,IFN-gamma
ARSG,STK24,0.14572,IFN-gamma
B3GNT5,BATF3,-0.10055,IFN-gamma
B3GNT5,BLZF1,0.06785,IFN-gamma
B3GNT5,C1QA,-0.16054,IFN-gamma
B3GNT5,CD72,-0.09827,IFN-gamma
B3GNT5,CHST12,-0.1628,IFN-gamma
B3GNT5,CPPED1,0.10738,IFN-gamma
B3GNT5,EPSTI1,0.13969,IFN-gamma
B3GNT5,FCGR3A,0.13502,IFN-gamma
B3GNT5,ICMT,-0.12875,IFN-gamma
B3GNT5,KLHL8,-0.10405,IFN-gamma
B3GNT5,LGALS3,0.18701,IFN-gamma
B3GNT5,LOC100128460,-0.07896,IFN-gamma
B3GNT5,TIPRL,0.15682,IFN-gamma
B3GNT5,TLK1,0.16616,IFN-gamma
BATF3,BTBD2,-0.14686,IFN-gamma
BATF3,COX6A1,0.14266,IFN-gamma
BATF3,CYP27A1,-0.23296,IFN-gamma
BATF3,IL10,-0.17034,IFN-gamma
BATF3,IL32,0.22674,IFN-gamma
BATF3,LOC729603,0.16645,IFN-gamma
BATF3,PCYOX1,-0.11343,IFN-gamma
BATF3,RELB,0.16683,IFN-gamma
BATF3,SNX17,0.18827,IFN-gamma
BATF3,STK24,-0.17003,IFN-gamma
BATF3,UBE2E2,0.10994,IFN-gamma
BCAS4,LGMN,0.23236,IFN-gamma
BCAS4,LOC653086,0.04131,IFN-gamma
BCAS4,PIGW,0.13933,IFN-gamma
BCAS4,PODXL,0.21269,IFN-gamma
BCAS4,RUNDC2B,0.31357,IFN-gamma
BCAS4,TTC21B,0.18914,IFN-gamma
BCYRN1,BLZF1,0.21839,IFN-gamma
BCYRN1,LOC644852,0.19509,IFN-gamma
BCYRN1,ZNF786,0.29882,IFN-gamma
BFAR,C12orf43,0.13117,IFN-gamma
BFAR,COX6A1,-0.11638,IFN-gamma
BFAR,FAM153B,-0.12301,IFN-gamma
BFAR,HSBP1,-0.1348,IFN-gamma
BFAR,ISG20L2,0.14591,IFN-gamma
BFAR,LOC100130229,0.16842,IFN-gamma
BFAR,MEFV,-0.19838,IFN-gamma
BFAR,NCAPD2,0.12658,IFN-gamma
BFAR,SMAP1,0.22599,IFN-gamma
BFAR,TMEM159,-0.14722,IFN-gamma
BIRC3,COPZ1,-0.16356,IFN-gamma
BIRC3,ICMT,-0.18195,IFN-gamma
BIRC3,IER3,0.17044,IFN-gamma
BIRC3,IL32,0.19251,IFN-gamma
BIRC3,JARID2,-0.17253,IFN-gamma
BIRC3,PION,0.1681,IFN-gamma
BIRC3,RELB,0.2207,IFN-gamma
BIRC3,SLAMF7,0.19648,IFN-gamma
BIRC3,SNX15,-0.13455,IFN-gamma
BIRC3,TNFRSF10B,0.14499,IFN-gamma
BIRC3,ZYX,-0.09507,IFN-gamma
BLZF1,BMS1P5,0.14006,IFN-gamma
BLZF1,C21orf55,0.11482,IFN-gamma
BLZF1,CCDC125,0.59244,IFN-gamma
BLZF1,CREB1,-0.14524,IFN-gamma
BLZF1,ZNF14,0.21444,IFN-gamma
BMS1P5,C15orf63,0.16937,IFN-gamma
BMS1P5,C3orf34,0.30779,IFN-gamma
BMS1P5,LOC100128288,0.34376,IFN-gamma
BTBD2,CD72,0.11416,IFN-gamma
BTBD2,CHST12,0.23414,IFN-gamma
BTBD2,IMPDH1,0.28631,IFN-gamma
BTBD2,LOC284821,0.1924,IFN-gamma
BTBD2,MAFF,-0.15916,IFN-gamma
BTBD2,SGK3,-0.16876,IFN-gamma
BTBD2,TRIM56,-0.11831,IFN-gamma
BTBD2,WNT5A,-0.12227,IFN-gamma
BTBD2,ZNF777,0.10671,IFN-gamma
C11orf63,C6orf170,0.2352,IFN-gamma
C11orf63,GCLM,0.33882,IFN-gamma
C11orf63,GDPD1,0.16935,IFN-gamma
C11orf63,LOC100130276,0.36436,IFN-gamma
C11orf63,TNFSF15,0.26207,IFN-gamma
C12orf43,CPPED1,0.1185,IFN-gamma
C12orf43,GALNT6,0.12723,IFN-gamma
C12orf43,IL12RB1,0.24512,IFN-gamma
C12orf43,IMPDH1,-0.22879,IFN-gamma
C12orf43,ISG20L2,0.14284,IFN-gamma
C12orf43,LOC401357,-0.10458,IFN-gamma
C12orf43,NFIL3,-0.11347,IFN-gamma
C12orf43,STK24,-0.14166,IFN-gamma
C12orf43,TRIM56,0.26763,IFN-gamma
C15orf63,C19orf12,-0.05216,IFN-gamma
C15orf63,C21orf24,0.46658,IFN-gamma
C15orf63,TMEM17,0.51637,IFN-gamma
C19orf12,C1orf210,0.09038,IFN-gamma
C19orf12,LOC100132540,0.4902,IFN-gamma
C19orf12,PPIL3,0.18412,IFN-gamma
C19orf12,TPM3,0.45185,IFN-gamma
C19orf12,ZNF682,0.03089,IFN-gamma
C19orf31,CAPS2,0.22495,IFN-gamma
C19orf31,CCNB1IP1,-0.04632,IFN-gamma
C19orf31,FAM177A1,0.26387,IFN-gamma
C19orf31,ITIH5,0.26099,IFN-gamma
C19orf31,NOD1,0.19248,IFN-gamma
C19orf31,PCDHB9,-0.06562,IFN-gamma
C19orf31,PRPF8,0.14699,IFN-gamma
C19orf31,RN7SL1,0.09192,IFN-gamma
C19orf31,TMBIM4,-0.15237,IFN-gamma
C1orf151,C1orf210,0.3941,IFN-gamma
C1orf210,COX16,0.23853,IFN-gamma
C1orf210,DLEU2,0.11348,IFN-gamma
C1orf210,FDXACB1,0.2572,IFN-gamma
C1QA,CBR3,0.24755,IFN-gamma
C1QA,SLC3A2,-0.10644,IFN-gamma
C1QA,SNORD3D,-0.05072,IFN-gamma
C21orf24,C21orf55,0.03159,IFN-gamma
C21orf55,C5orf28,0.05985,IFN-gamma
C21orf55,CDAN1,0.25452,IFN-gamma
C21orf55,CHRNA5,-0.04997,IFN-gamma
C21orf55,DAPP1,0.12902,IFN-gamma
C21orf55,FARSLB,0.14065,IFN-gamma
C21orf55,GABPB2,0.21644,IFN-gamma
C21orf55,IL18,0.19363,IFN-gamma
C21orf55,PDE4C,0.30001,IFN-gamma
C3orf34,C6orf170,0.04738,IFN-gamma
C3orf34,C8orf45,0.08775,IFN-gamma
C3orf34,CATSPER2,0.12598,IFN-gamma
C3orf34,CDAN1,-0.03501,IFN-gamma
C3orf34,CHRNA5,0.15157,IFN-gamma
C3orf34,DUSP19,0.2635,IFN-gamma
C3orf34,LRRFIP1,0.27125,IFN-gamma
C3orf34,ZMAT3,0.24366,IFN-gamma
C3orf34,ZNF430,-0.05,IFN-gamma
C4orf34,DENND4C,0.18819,IFN-gamma
C4orf34,GNB4,0.15069,IFN-gamma
C4orf34,IL32,-0.18898,IFN-gamma
C4orf34,KLHL8,0.11177,IFN-gamma
C4orf34,PCYOX1,0.20611,IFN-gamma
C4orf34,PION,-0.08672,IFN-gamma
C4orf34,SORL1,0.26033,IFN-gamma
C4orf34,VPS41,0.10965,IFN-gamma
C4orf34,ZNF845,0.19401,IFN-gamma
C5orf28,C6orf170,0.19993,IFN-gamma
C5orf28,C8orf45,0.17017,IFN-gamma
C5orf28,CRCP,0.33178,IFN-gamma
C6orf170,FAM153B,0.18768,IFN-gamma
C6orf170,PCDHB9,0.36202,IFN-gamma
C6orf61,DDX19A,0.0659,IFN-gamma
C6orf61,DLEU2,-0.08123,IFN-gamma
C6orf61,GIMAP1,-0.18392,IFN-gamma
C6orf61,ZNF701,0.22591,IFN-gamma
C6orf61,ZNF763,0.21901,IFN-gamma
C6orf61,ZNF777,-0.11893,IFN-gamma
C8orf45,C9orf80,0.39061,IFN-gamma
C8orf45,CATSPER2,0.11485,IFN-gamma
C9orf80,CCDC125,0.11672,IFN-gamma
C9orf80,CCR6,0.14621,IFN-gamma
C9orf80,CRCP,0.2187,IFN-gamma
C9orf80,CREB1,-0.06682,IFN-gamma
C9orf80,ZNF430,0.35938,IFN-gamma
CAPS2,DDX19A,0.14974,IFN-gamma
CAPS2,EPSTI1,-0.09375,IFN-gamma
CAPS2,FOXD4L4,0.14734,IFN-gamma
CAPS2,SC4MOL,0.04923,IFN-gamma
CAPS2,TNFSF14,0.21527,IFN-gamma
CATSPER2,CCBE1,0.49915,IFN-gamma
CBR3,COX6A1,0.1578,IFN-gamma
CBR3,JARID2,-0.11092,IFN-gamma
CCBE1,CCDC125,0.07009,IFN-gamma
CCBE1,CDKN2AIPNL,0.34223,IFN-gamma
CCBE1,CREB1,0.17147,IFN-gamma
CCBE1,FAM115A,-0.11805,IFN-gamma
CCBE1,LOC729439,-0.05772,IFN-gamma
CCBE1,ZNF682,0.37241,IFN-gamma
CCDC125,CCR6,0.11823,IFN-gamma
CCL20,CYP27A1,-0.08486,IFN-gamma
CCL20,DOPEY2,-0.2451,IFN-gamma
CCL20,IER3,0.37008,IFN-gamma
CCL20,LOC401357,-0.09142,IFN-gamma
CCL20,LOC440157,0.10661,IFN-gamma
CCL20,PGA3,-0.35142,IFN-gamma
CCL20,PRPF8,-0.11408,IFN-gamma
CCL20,SLAMF6,-0.1555,IFN-gamma
CCL20,TNFSF14,0.08668,IFN-gamma
CCL20,ZYX,-0.12461,IFN-gamma
CCNB1IP1,COX6A1,0.20091,IFN-gamma
CCNB1IP1,DDX19A,0.16998,IFN-gamma
CCNB1IP1,GLIPR1,0.19952,IFN-gamma
CCNB1IP1,RINL,0.16746,IFN-gamma
CCNB1IP1,SC4MOL,-0.19179,IFN-gamma
CCNB1IP1,STK24,-0.11027,IFN-gamma
CCNB1IP1,TLK1,0.15706,IFN-gamma
CCR6,CDAN1,0.03825,IFN-gamma
CCR6,FAM115A,0.29089,IFN-gamma
CCR6,ITIH5,0.38704,IFN-gamma
CCR6,LOC729439,0.15194,IFN-gamma
CD68,CD84,0.17077,IFN-gamma
CD68,CYP27A1,0.15527,IFN-gamma
CD68,DAPP1,0.2456,IFN-gamma
CD68,FLJ38717,-0.13609,IFN-gamma
CD68,NUP107,-0.1673,IFN-gamma
CD68,RUNDC2B,0.13811,IFN-gamma
CD68,SNX17,0.15273,IFN-gamma
CD68,ZYX,0.05741,IFN-gamma
CD72,CRTC3,-0.1664,IFN-gamma
CD72,IL12RB1,0.1331,IFN-gamma
CD72,JARID2,0.09986,IFN-gamma
CD72,MT1G,0.1295,IFN-gamma
CD72,NLRP3,0.18236,IFN-gamma
CD72,NOD1,0.18433,IFN-gamma
CD72,PRPF8,-0.25657,IFN-gamma
CD72,SORL1,0.23103,IFN-gamma
CD84,RAG1AP1,0.21605,IFN-gamma
CD84,SC4MOL,0.10248,IFN-gamma
CD84,SLAMF6,0.30856,IFN-gamma
CDAN1,CDKN2AIPNL,0.17117,IFN-gamma
CDAN1,COX19,0.09307,IFN-gamma
CDAN1,CRCP,0.19821,IFN-gamma
CDK5RAP2,GALNT6,0.12029,IFN-gamma
CDK5RAP2,HIST1H2BD,0.17167,IFN-gamma
CDK5RAP2,JARID2,0.11717,IFN-gamma
CDK5RAP2,PGA3,-0.13071,IFN-gamma
CDK5RAP2,PHRF1,0.13854,IFN-gamma
CDK5RAP2,SLC3A2,0.20536,IFN-gamma
CDKN2AIPNL,CHST12,0.19555,IFN-gamma
CEACAM1,CYP27A1,-0.16436,IFN-gamma
CEACAM1,EPSTI1,0.14615,IFN-gamma
CEACAM1,FCGR3A,0.14299,IFN-gamma
CEACAM1,FHIT,0.17283,IFN-gamma
CEACAM1,KCNMB4,0.34422,IFN-gamma
CEACAM1,MRP63,-0.13573,IFN-gamma
CEACAM1,MT1G,0.23712,IFN-gamma
CEACAM1,SLAMF6,0.11447,IFN-gamma
CEACAM1,ZYX,0.1687,IFN-gamma
CHRNA5,CPPED1,0.07279,IFN-gamma
CHRNA5,FAM63A,0.56076,IFN-gamma
CHRNA5,HSPC268,0.39482,IFN-gamma
CHRNA5,QRFPR,0.31741,IFN-gamma
CHRNA5,ZNF69,0.15272,IFN-gamma
CHST12,COPZ1,-0.15987,IFN-gamma
CHST12,HSBP1,0.07625,IFN-gamma
CHST12,PHF1,-0.08669,IFN-gamma
CHST12,TNK2,0.01049,IFN-gamma
CHST12,YEATS4,-0.09396,IFN-gamma
CNN2,IMPDH1,0.17143,IFN-gamma
CNN2,PHF1,-0.05837,IFN-gamma
COPZ1,COX19,-0.12356,IFN-gamma
COPZ1,CRCP,-0.13746,IFN-gamma
COPZ1,FAM177A1,0.18646,IFN-gamma
COPZ1,GIMAP1,-0.18603,IFN-gamma
COPZ1,HIST1H2BD,-0.11824,IFN-gamma
COPZ1,LOC284821,0.21278,IFN-gamma
COPZ1,MTMR12,0.24766,IFN-gamma
COPZ1,NLRP3,0.09837,IFN-gamma
COPZ1,PRPF8,0.22145,IFN-gamma
COPZ1,RAB3IP,-0.12012,IFN-gamma
COPZ1,RAG1AP1,0.07763,IFN-gamma
COPZ1,TNK2,-0.04956,IFN-gamma
COPZ1,YEATS4,-0.19178,IFN-gamma
COPZ1,ZNF845,-0.11242,IFN-gamma
COX15,COX16,0.2119,IFN-gamma
COX19,DENND4C,0.20107,IFN-gamma
COX19,FAM63A,-0.07402,IFN-gamma
COX19,FLJ38717,0.29976,IFN-gamma
COX19,HNRPR,0.10046,IFN-gamma
COX19,LGALS3,-0.07183,IFN-gamma
COX19,LOC100128460,0.12269,IFN-gamma
COX19,PHRF1,0.06198,IFN-gamma
COX19,SLAMF7,-0.21474,IFN-gamma
COX19,STAG3L3,0.24421,IFN-gamma
COX6A1,EPSTI1,-0.11515,IFN-gamma
COX6A1,HSBP1,0.11821,IFN-gamma
COX6A1,ITIH5,-0.11319,IFN-gamma
COX6A1,NBPF8,-0.14509,IFN-gamma
COX6A1,NLRP3,-0.20596,IFN-gamma
COX6A1,SPC24,0.11448,IFN-gamma
COX6A1,SSSCA1,0.16735,IFN-gamma
COX6A1,VHL,-0.14334,IFN-gamma
COX6A1,ZNF131,-0.17112,IFN-gamma
CPPED1,DEM1,0.12737,IFN-gamma
CPPED1,GIMAP1,0.11299,IFN-gamma
CPPED1,LGALS3,0.15763,IFN-gamma
CPPED1,NUP107,-0.13635,IFN-gamma
CPPED1,SLC3A2,-0.12894,IFN-gamma
CPPED1,SNORD3C,-0.05844,IFN-gamma
CPPED1,STAG3L3,-0.135,IFN-gamma
CRCP,DAPP1,0.10578,IFN-gamma
CRCP,DUXAP3,0.19986,IFN-gamma
CREB1,DDX51,0.38985,IFN-gamma
CREB1,DUSP19,0.26784,IFN-gamma
CREB1,DUXAP3,3e-05,IFN-gamma
CREB1,EID2B,0.312,IFN-gamma
CREB1,KLHL28,0.24692,IFN-gamma
CRTC3,GIMAP1,-0.13732,IFN-gamma
CRTC3,GLTSCR1,0.22528,IFN-gamma
CRTC3,SLC3A2,0.2023,IFN-gamma
CRTC3,STK24,0.20847,IFN-gamma
CRTC3,TLK1,0.09458,IFN-gamma
CYP27A1,DOPEY2,0.16401,IFN-gamma
CYP27A1,GIMAP1,-0.11399,IFN-gamma
CYP27A1,GLIPR1,-0.23362,IFN-gamma
CYP27A1,JARID2,-0.16523,IFN-gamma
CYP27A1,MBOAT2,-0.12167,IFN-gamma
CYP27A1,PHF1,0.07913,IFN-gamma
CYP27A1,SLC35E3,0.21826,IFN-gamma
CYP27A1,SLC3A2,0.17081,IFN-gamma
CYP27A1,SPINK1,0.11412,IFN-gamma
DAPP1,FKTN,0.33819,IFN-gamma
DAPP1,NFIL3,0.11191,IFN-gamma
DCLRE1C,DDX19A,0.19771,IFN-gamma
DCLRE1C,RINL,0.32415,IFN-gamma
DCLRE1C,SMC4,8e-05,IFN-gamma
DCLRE1C,VHL,0.2273,IFN-gamma
DDX19A,DENND4C,0.2834,IFN-gamma
DDX19A,DOPEY2,0.15473,IFN-gamma
DDX19A,GNB4,0.08364,IFN-gamma
DDX19A,LEF1,-0.06481,IFN-gamma
DDX19A,POLR3A,0.26872,IFN-gamma
DDX51,DEM1,0.34959,IFN-gamma
DEM1,DUXAP3,0.1303,IFN-gamma
DEM1,FKBP14,0.42926,IFN-gamma
DENND4C,KLHL8,0.10853,IFN-gamma
DENND4C,SLAMF6,0.27524,IFN-gamma
DENND4C,WNT5A,-0.11795,IFN-gamma
DLEU2,FLJ40453,0.2201,IFN-gamma
DLEU2,SC4MOL,0.14839,IFN-gamma
DLEU2,ZNF763,-0.16413,IFN-gamma
DOPEY2,DUXAP3,0.0908,IFN-gamma
DOPEY2,ICMT,0.14895,IFN-gamma
DOPEY2,THRA,0.12638,IFN-gamma
DOPEY2,VPS41,0.23304,IFN-gamma
DSN1,DUSP19,0.18581,IFN-gamma
DUSP19,EID2B,0.31982,IFN-gamma
DUSP19,FAM153B,-0.1061,IFN-gamma
DUXAP3,FAM115A,0.63068,IFN-gamma
EID2B,ENHO,0.07015,IFN-gamma
EID2B,FAM119A,0.37613,IFN-gamma
ENHO,PLXNA4,0.25705,IFN-gamma
ENHO,SPINT3,0.25074,IFN-gamma
ENHO,ZNF131,-0.11284,IFN-gamma
EPSTI1,FUT6,-0.08848,IFN-gamma
EPSTI1,ICA1,-0.16108,IFN-gamma
EPSTI1,ICMT,-0.15064,IFN-gamma
EPSTI1,LOC284821,-0.09299,IFN-gamma
EPSTI1,MAFF,-0.16006,IFN-gamma
EPSTI1,MCF2L2,-0.0904,IFN-gamma
EPSTI1,NBPF8,0.15265,IFN-gamma
EPSTI1,NFIL3,0.08481,IFN-gamma
EPSTI1,PGA3,0.20641,IFN-gamma
EPSTI1,SRGAP1,0.09806,IFN-gamma
EVI5L,FAM63A,-0.0797,IFN-gamma
EVI5L,IL12RB1,0.10202,IFN-gamma
EVI5L,TBC1D15,-0.18377,IFN-gamma
EVI5L,ZNF777,0.34335,IFN-gamma
FAM102A,LEF1,0.34047,IFN-gamma
FAM102A,NT5DC3,0.09066,IFN-gamma
FAM115A,FAM119A,0.14785,IFN-gamma
FAM119A,FAM175A,0.46147,IFN-gamma
FAM153B,FAM40B,0.19073,IFN-gamma
FAM153B,LOC100128460,0.26914,IFN-gamma
FAM153B,LOC644642,0.13573,IFN-gamma
FAM153B,PCDHB9,0.1063,IFN-gamma
FAM153B,PLA2G2D,0.29072,IFN-gamma
FAM175A,FAM73A,0.30677,IFN-gamma
FAM175A,KIAA0101,-0.0599,IFN-gamma
FAM175A,KIAA1751,0.48626,IFN-gamma
FAM177A1,FARSLB,0.22638,IFN-gamma
FAM177A1,ITIH5,0.14986,IFN-gamma
FAM177A1,KIAA0101,0.18233,IFN-gamma
FAM40B,FAM73A,0.21395,IFN-gamma
FAM40B,FDXACB1,0.13052,IFN-gamma
FAM40B,ICA1,0.0856,IFN-gamma
FAM40B,LOC100130053,0.33981,IFN-gamma
FAM40B,ZNF786,0.22656,IFN-gamma
FAM63A,FKBP1P1,0.14886,IFN-gamma
FAM63A,TBC1D9,0.06632,IFN-gamma
FAM73A,FARSLB,0.07966,IFN-gamma
FAM73A,FDXACB1,-0.16084,IFN-gamma
FARSLB,FKTN,0.21358,IFN-gamma
FARSLB,GABPB2,6e-05,IFN-gamma
FARSLB,GCLM,-0.07205,IFN-gamma
FCAR,FCGR3A,0.10199,IFN-gamma
FCAR,FDXACB1,-0.05914,IFN-gamma
FCAR,FKBP14,0.07278,IFN-gamma
FCAR,FKBP1P1,0.15535,IFN-gamma
FCAR,MBTD1,0.30586,IFN-gamma
FCAR,SEMA3E,0.44659,IFN-gamma
FCF1,NT5DC3,-0.16342,IFN-gamma
FCF1,RELB,-0.08346,IFN-gamma
FCF1,SLC3A2,0.08469,IFN-gamma
FCF1,TPM4,0.26887,IFN-gamma
FCGR3A,GIMAP1,0.21855,IFN-gamma
FCGR3A,PTPLAD2,0.10326,IFN-gamma
FCGR3A,STK24,0.15373,IFN-gamma
